000	000	000000
000	001	000000
000	010	000000
000	011	000000
000	100	000000
000	101	000000
000	110	000000
000	111	000000
001	000	000000
001	001	011010
001	010	001111
001	011	000100
001	100	011110
001	101	010011
001	110	001000
001	111	100010
010	000	000000
010	001	001111
010	010	011110
010	011	001000
010	100	010111
010	101	000001
010	110	010000
010	111	011111
011	000	000000
011	001	000100
011	010	001000
011	011	001100
011	100	010000
011	101	010100
011	110	011000
011	111	011100
100	000	000000
100	001	011110
100	010	010111
100	011	010000
100	100	001001
100	101	000010
100	110	100000
100	111	011001
101	000	000000
101	001	010011
101	010	000001
101	011	010100
101	100	000010
101	101	010101
101	110	000011
101	111	010110
110	000	000000
110	001	001000
110	010	010000
110	011	011000
110	100	100000
110	101	000011
110	110	001011
110	111	010011
111	000	000000
111	001	100010
111	010	011111
111	011	011100
111	100	011001
111	101	010110
111	110	010011
111	111	010000
