000	000	000000
000	001	000000
000	010	000000
000	011	000000
000	100	000000
000	101	000000
000	110	000000
000	111	000000
001	000	000000
001	001	011011
001	010	010001
001	011	000111
001	100	100010
001	101	011000
001	110	001110
001	111	000100
010	000	000000
010	001	010001
010	010	100010
010	011	001110
010	100	011111
010	101	001011
010	110	011100
010	111	001000
011	000	000000
011	001	000111
011	010	001110
011	011	010101
011	100	011100
011	101	100011
011	110	000101
011	111	001100
100	000	000000
100	001	100010
100	010	011111
100	011	011100
100	100	011001
100	101	010110
100	110	010011
100	111	010000
101	000	000000
101	001	011000
101	010	001011
101	011	100011
101	100	010110
101	101	001001
101	110	100001
101	111	010100
110	000	000000
110	001	001110
110	010	011100
110	011	000101
110	100	010011
110	101	100001
110	110	001010
110	111	011000
111	000	000000
111	001	000100
111	010	001000
111	011	001100
111	100	010000
111	101	010100
111	110	011000
111	111	011100
