000	000	000000
000	001	000000
000	010	000000
000	011	000000
000	100	000000
000	101	000000
000	110	000000
000	111	000000
001	000	000000
001	001	000001
001	010	000010
001	011	000011
001	100	000100
001	101	000101
001	110	000110
001	111	000111
010	000	000000
010	001	000010
010	010	000100
010	011	000110
010	100	001000
010	101	001010
010	110	001100
010	111	001110
011	000	000000
011	001	000011
011	010	000110
011	011	001001
011	100	001100
011	101	001111
011	110	010010
011	111	010101
100	000	000000
100	001	000100
100	010	001000
100	011	001100
100	100	010000
100	101	010100
100	110	011000
100	111	011100
101	000	000000
101	001	000101
101	010	001010
101	011	001111
101	100	010100
101	101	011001
101	110	011110
101	111	100011
110	000	000000
110	001	000110
110	010	001100
110	011	010010
110	100	011000
110	101	011110
110	110	100100
110	111	000101
111	000	000000
111	001	000111
111	010	001110
111	011	010101
111	100	011100
111	101	100011
111	110	000101
111	111	001100
