000	000	000000
000	001	000000
000	010	000000
000	011	000000
000	100	000000
000	101	000000
000	110	000000
000	111	000000
001	000	000000
001	001	100100
001	010	100011
001	011	100010
001	100	100001
001	101	100000
001	110	011111
001	111	011110
010	000	000000
010	001	100011
010	010	100001
010	011	011111
010	100	011101
010	101	011011
010	110	011001
010	111	010111
011	000	000000
011	001	100010
011	010	011111
011	011	011100
011	100	011001
011	101	010110
011	110	010011
011	111	010000
100	000	000000
100	001	100001
100	010	011101
100	011	011001
100	100	010101
100	101	010001
100	110	001101
100	111	001001
101	000	000000
101	001	100000
101	010	011011
101	011	010110
101	100	010001
101	101	001100
101	110	000111
101	111	000010
110	000	000000
110	001	011111
110	010	011001
110	011	010011
110	100	001101
110	101	000111
110	110	000001
110	111	100000
111	000	000000
111	001	011110
111	010	010111
111	011	010000
111	100	001001
111	101	000010
111	110	100000
111	111	011001
