000	000	000000
000	001	000000
000	010	000000
000	011	000000
000	100	000000
000	101	000000
000	110	000000
000	111	000000
001	000	000000
001	001	001000
001	010	010000
001	011	011000
001	100	100000
001	101	000011
001	110	001011
001	111	010011
010	000	000000
010	001	010000
010	010	100000
010	011	001011
010	100	011011
010	101	000110
010	110	010110
010	111	000001
011	000	000000
011	001	011000
011	010	001011
011	011	100011
011	100	010110
011	101	001001
011	110	100001
011	111	010100
100	000	000000
100	001	100000
100	010	011011
100	011	010110
100	100	010001
100	101	001100
100	110	000111
100	111	000010
101	000	000000
101	001	000011
101	010	000110
101	011	001001
101	100	001100
101	101	001111
101	110	010010
101	111	010101
110	000	000000
110	001	001011
110	010	010110
110	011	100001
110	100	000111
110	101	010010
110	110	011101
110	111	000011
111	000	000000
111	001	010011
111	010	000001
111	011	010100
111	100	000010
111	101	010101
111	110	000011
111	111	010110
